user_id,char,key_code,hold_time,latency_time,flight_time,key_down_time,key_up_time,event_index,session_id,wpm
harshith,i,105,0.04459,0.24306,0.18876,332427.7953,332427.8399,5,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,c,99,0.06447,0.32282,0.27823,332428.1181,332428.1826,6,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,k,107,0.05939,0.25454,0.19007,332428.3726,332428.432,7,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,b,98,0.06467,0.44254,0.38315,332428.8152,332428.8798,8,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,r,114,0.05894,0.21414,0.14947,332429.0293,332429.0883,9,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,o,111,0.06521,0.20346,0.14452,332429.2328,332429.298,10,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,w,119,0.06516,0.23908,0.17387,332429.4719,332429.537,11,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,n,110,0.05409,0.16445,0.09929,332429.6363,332429.6904,12,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,f,102,0.05966,0.40794,0.35385,332430.0443,332430.1039,13,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,o,111,0.05523,0.20875,0.14909,332430.253,332430.3082,14,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,x,120,0.06483,0.51208,0.45686,332430.7651,332430.8299,15,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,j,106,0.06961,0.42341,0.35858,332431.1885,332431.2581,16,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,u,117,0.07007,0.20363,0.13402,332431.3921,332431.4622,17,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,m,109,0.09467,0.24426,0.17419,332431.6364,332431.7311,18,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,p,112,0.05421,0.29376,0.19909,332431.9302,332431.9844,19,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,s,115,0.06456,0.20861,0.15439,332432.1388,332432.2033,20,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,o,111,0.04942,0.39923,0.33467,332432.538,332432.5874,21,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,v,118,0.06454,0.25249,0.20308,332432.7905,332432.855,22,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,e,101,0.07419,0.16933,0.10479,332432.9598,332433.034,23,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,r,114,0.06482,0.20912,0.13493,332433.1689,332433.2338,24,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,t,116,0.07477,0.44247,0.37765,332433.6114,332433.6862,25,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,h,104,0.08011,0.22389,0.14913,332433.8353,332433.9154,26,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,e,101,0.06475,0.18954,0.10943,332434.0248,332434.0896,27,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,l,108,0.06038,0.448,0.38325,332434.4728,332434.5332,28,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,a,97,0.07416,0.15425,0.09387,332434.6271,332434.7012,29,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,z,122,0.0791,0.25851,0.18435,332434.8856,332434.9647,30,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,y,121,0.05493,0.24354,0.16444,332435.1291,332435.1841,31,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,d,100,0.06339,0.43901,0.38409,332435.5682,332435.6315,32,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,o,111,0.05508,0.15339,0.08999,332435.7215,332435.7766,33,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,g,103,0.05947,0.31373,0.25865,332436.0353,332436.0947,34,a90a89f4-a18a-4d97-ade4-50d3bca72076,53.56
harshith,t,116,0.06441,0,0,332666.488,332666.5524,0,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,h,104,0.0643,0.22893,0.16452,332666.7169,332666.7812,1,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,e,101,0.05958,0.12462,0.06033,332666.8415,332666.9011,2,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,q,113,0.07483,0.39731,0.33773,332667.2388,332667.3137,3,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,u,117,0.05421,0.19544,0.12061,332667.4343,332667.4885,4,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,i,105,0.06458,0.19819,0.14398,332667.6325,332667.6971,5,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,c,99,0.05967,0.2339,0.16932,332667.8664,332667.926,6,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,k,107,0.0695,0.15431,0.09465,332668.0207,332668.0902,7,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,b,98,0.04858,0.41883,0.34934,332668.4395,332668.4881,8,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,r,114,0.05002,0.22255,0.17397,332668.6621,332668.7121,9,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,o,111,0.06453,0.21457,0.16455,332668.8767,332668.9412,10,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,w,119,0.05658,0.21361,0.14908,332669.0903,332669.1468,11,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,n,110,0.04969,0.1641,0.10753,332669.2544,332669.3041,12,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,f,102,0.05457,0.41295,0.36326,332669.6673,332669.7219,13,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,o,111,0.05442,0.18942,0.13485,332669.8567,332669.9112,14,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,x,120,0.08462,0.23371,0.17928,332670.0904,332670.1751,15,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,j,106,0.05899,0.40321,0.31859,332670.4937,332670.5527,16,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,u,117,0.06467,0.18387,0.12488,332670.6775,332670.7422,17,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,m,109,0.01945,0.22393,0.15926,332670.9015,332670.9209,18,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,p,112,0.05397,0.25427,0.23482,332671.1557,332671.2097,19,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,s,115,0.04473,0.19462,0.14065,332671.3503,332671.3951,20,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,o,111,0.06995,0.44147,0.39674,332671.7918,332671.8618,21,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,v,118,0.05527,0.30838,0.23842,332672.1002,332672.1555,22,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,e,101,0.07955,0.12964,0.07436,332672.2298,332672.3094,23,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,r,114,0.0641,0.21909,0.13955,332672.4489,332672.513,24,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,t,116,0.05501,0.39779,0.33369,332672.8467,332672.9017,25,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,h,104,0.0745,0.18453,0.12953,332673.0312,332673.1057,26,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,e,101,0.0492,0.1394,0.0649,332673.1706,332673.2198,27,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,l,108,0.04867,0.52775,0.47855,332673.6984,332673.7471,28,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,a,97,0.06502,0.16337,0.1147,332673.8618,332673.9268,29,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,z,122,0.05485,0.27905,0.21403,332674.1408,332674.1957,30,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,y,121,0.05817,0.25979,0.20494,332674.4006,332674.4588,31,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,d,100,0.05951,0.44684,0.38867,332674.8474,332674.9069,32,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
